date,admin1,admin2,market,latitude,longitude,category,commodity,unit,price,usdprice
2011-01-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.16,0.2253
2011-01-15,,,National Average,,,cereals and tubers,Rice (imported),KG,0.9,1.2674
2011-01-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.5,2.1124
2011-01-15,,,National Average,,,pulses and nuts,Pulses,KG,1.2,1.6899
2011-02-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.16,0.2253
2011-02-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.07,1.5068
2011-02-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.6,2.2532
2011-02-15,,,National Average,,,pulses and nuts,Pulses,KG,1.27,1.7885
2011-03-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.16,0.2253
2011-03-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.04,1.4646
2011-03-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.62,2.2814
2011-03-15,,,National Average,,,pulses and nuts,Pulses,KG,1.26,1.7688
2011-04-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.16,0.2253
2011-04-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.01,1.4238
2011-04-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.62,2.2814
2011-04-15,,,National Average,,,pulses and nuts,Pulses,KG,1.28,1.8026
2011-05-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.16,0.2253
2011-05-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.01,1.4223
2011-05-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.64,2.3095
2011-05-15,,,National Average,,,pulses and nuts,Pulses,KG,1.32,1.8589
2011-06-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.16,0.2253
2011-06-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.03,1.4505
2011-06-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.54,2.1687
2011-07-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.16,0.2253
2011-07-15,,,National Average,,,cereals and tubers,Rice (imported),KG,0.98,1.3787
2011-07-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.75,2.4715
2011-07-15,,,National Average,,,pulses and nuts,Pulses,KG,1.33,1.8786
2011-08-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.16,0.2253
2011-08-15,,,National Average,,,cereals and tubers,Rice (imported),KG,0.96,1.3491
2011-08-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.77,2.4968
2011-08-15,,,National Average,,,pulses and nuts,Pulses,KG,1.21,1.704
2011-09-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.16,0.2253
2011-09-15,,,National Average,,,cereals and tubers,Rice (imported),KG,0.9,1.2674
2011-09-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.69,2.3757
2011-09-15,,,National Average,,,pulses and nuts,Pulses,KG,1.14,1.6054
2011-10-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.16,0.2253
2011-10-15,,,National Average,,,cereals and tubers,Rice (imported),KG,0.99,1.3942
2011-10-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.69,2.3757
2011-10-15,,,National Average,,,pulses and nuts,Pulses,KG,1.08,1.5251
2011-11-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.16,0.2253
2011-11-15,,,National Average,,,cereals and tubers,Rice (imported),KG,0.91,1.2787
2011-11-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.67,2.3448
2011-11-15,,,National Average,,,pulses and nuts,Pulses,KG,1.02,1.4364
